competition_id,tag_id
3486,14102
3526,12116
3526,14101
3526,14104
3706,2606
3706,4141
3810,14104
3810,14202
3816,13209
3927,11208
3927,14104
3936,12021
3936,14202
3947,14102
3948,12404
3948,13209
3948,14101
3949,12116
3949,14104
3949,14201
3971,2303
3971,14104
3971,14201
3978,3003
3978,14102
3978,14202
4031,14101
4031,14202
4032,2501
4032,14101
4066,2606
4066,4141
4066,14101
4104,14102
4104,14201
4117,12116
4117,14104
4117,14202
4128,2502
4128,14101
4128,14202
4195,14101
4272,14101
4272,14203
4280,12116
4280,14101
4294,12116
4294,14101
4294,14201
4332,14101
4332,14203
4366,14101
4366,14201
4378,14101
4383,14101
4406,14102
4407,12116
4407,14101
4438,12027
4438,14101
4453,14101
4453,14202
4458,11104
4458,14101
4458,14202
4467,12026
4467,14101
4467,14203
4471,8317
4477,14202
4481,12027
4481,14101
4481,14202
4487,12027
4487,14101
4487,14201
4488,7404
4488,14101
4488,14201
4493,12027
4493,14101
4493,14201
4495,14101
4495,14203
4504,11108
4504,14101
4521,3003
4521,7301
4521,14102
4526,14104
4526,14202
4526,16113
4571,12101
4571,14101
4571,14104
4571,14202
4588,12116
4588,14101
4588,14202
4594,13209
4594,14101
4651,13311
4651,14101
4651,16467
4654,14101
4654,14202
4657,14101
4657,14201
4699,14101
4704,14101
4729,4202
4729,14102
4829,12116
4829,14102
4829,16113
4852,11129
4852,14101
4852,14201
4853,14101
4862,2606
4862,4141
4862,14101
4986,11129
4986,14101
4986,14201
5039,7301
5039,14101
5039,14202
5048,12402
5048,14102
5056,13311
5056,14101
5056,16467
5127,14102
5144,4202
5144,14102
5174,12116
5185,2606
5185,14101
5185,14201
5186,7202
5186,12116
5186,14101
5186,14202
5229,14102
5260,14101
5260,16113
5261,11102
5261,14101
5314,14101
5325,14101
5325,14203
5340,11204
5340,12117
5340,14101
5340,14202
5357,12026
5357,14101
5357,14201
5390,4202
5390,4302
5408,14102
5408,14202
5441,7301
5441,14102
5441,14201
5497,12116
5497,14101
5558,11129
5558,14101
5558,14202
5568,14102
5568,14202
5590,8317
5590,14101
5590,14104
5590,14202
5693,14101
5693,14104
5693,14202
5708,14101
5708,14202
5874,11108
5916,14102
5916,14202
5977,14101
6004,4202
6004,14102
6004,14201
6049,12116
6049,14102
6100,2606
6100,4141
6116,3003
6116,7301
6116,14102
6243,4202
6243,14102
6243,14202
6277,11208
6277,12116
6277,14101
6277,14104
6322,12021
6322,14102
6392,8317
6392,11129
6392,14101
6392,14203
6469,7306
6469,14102
6538,7301
6538,7306
6538,14102
6539,8301
6539,14102
6565,12402
6565,14101
6565,14203
6644,16113
6649,8317
6649,11122
6768,12116
6768,14101
6775,14102
6799,14102
6818,7301
6818,14102
6841,4406
6841,14104
6841,14202
6864,14102
6864,14211
6866,14102
6866,14211
6867,14102
6867,14211
6927,12402
6927,14102
6960,14101
6960,14203
6961,7301
6961,14102
7042,2107
7042,11208
7042,14104
7043,2107
7043,11208
7043,14104
7082,14101
7082,14201
7115,14202
7163,14201
7299,7402
7327,7301
7327,14102
7327,14202
7380,7408
7380,14102
7380,14201
7391,14101
7391,14203
7391,16113
7456,14102
7516,2206
7516,11208
7516,14202
7878,7404
7878,14101
7880,7306
7880,14102
7880,14202
7968,13204
7968,14104
8076,14104
8078,14102
8089,7100
8310,2606
8396,14102
8426,11130
8426,14201
8586,14101
8586,14102
8586,14104
9120,11129
9120,14101
9301,14105
9717,11108
9717,11129
9840,14101
9840,14202
9933,11108
9933,16373
9933,16430
9985,12021
9985,14101
9988,14102
9992,11211
9992,14102
9993,13207
9993,14102
9994,12016
9994,14101
9999,14101
10012,14104
10012,14202
10012,16113
10025,14104
10025,14202
10038,14101
10038,14203
10151,7203
10151,14102
10170,14101
10170,14203
10200,14102
10300,2303
10300,14101
10335,2507
10335,14101
10338,12028
10338,14102
10384,7401
10384,14101
10385,11129
10385,14101
10385,14201
10386,14102
10386,14202
10418,13302
10418,14102
10445,11129
10445,14101
10445,14203
10684,13203
10684,14101
10684,14201
10686,14102
10686,14104
10700,16072
10733,15002
10737,14104
10737,14201
11000,7200
11000,7404
11000,13203
11848,1219
11848,12028
11848,16382
11880,7301
11880,14101
11880,14201
11999,2606
11999,4141
12000,2606
12000,4141
12133,14104
12133,14202
12500,13204
12500,14104
12716,14105
12797,13204
12797,14104
12863,13205
12863,14104
12896,14101
12896,14201
12961,14102
12961,14202
13242,12038
13242,13203
13242,14101
13251,2400
13251,14102
13333,7201
13333,14102
13435,7000
13435,7306
13435,14102
13451,14102
13503,12116
13503,14104
13578,9109
13578,14102
13578,14202
13578,16010
13663,1219
13836,7306
13836,14102
13836,14202
14239,14101
14239,14201
14241,12026
14241,14102
14242,14101
14242,14201
14313,7402
14313,14101
14313,14203
14315,13207
14315,14102
14316,13207
14316,14102
14420,1219
14420,7100
14420,13302
14420,14102
14652,14102
14774,4202
14774,12028
14774,14102
14774,14202
14859,3004
14859,13206
14859,14101
14859,14203
14897,14102
14897,14202
14999,14101
14999,14201
15043,14102
15447,14104
15696,2603
15696,4141
15768,14102
16017,13207
16017,14102
16245,7105
16245,13207
16295,12116
16295,14104
16531,2507
16531,8100
16531,11105
16880,14105
17000,14201
17233,15002
17233,16278
17800,15002
17800,16278
18011,2507
18011,16151
18045,7100
18278,7306
18278,14102
18278,16574
18294,7100
18294,14202
18329,12101
18599,13209
18600,13209
18601,2606
18601,14101
18602,2606
18602,14101
18627,7306
18627,14102
18647,12028
18647,14102
18648,12001
18648,14102
18685,12116
18685,15002
19018,2107
19018,14104
19018,16574
19059,7203
19059,7404
19059,13203
19205,14102
19231,13207
19231,14102
19233,13207
19233,14102
19539,14101
19539,16575
19548,14101
19548,16575
19596,16072
19702,14101
19702,16575
19853,14101
19853,16575
19988,4406
19988,7100
